customer_id,name,email,address,region,country
1,Maisie Calderon,donec.est@aol.couk,"103-388 Pellentesque, St.",Aisén,Chile
2,Amos Branch,lectus@yahoo.ca,Ap #508-6919 Ante. Rd.,Chandigarh,India
3,Magee Reeves,eleifend@outlook.org,229-613 Rhoncus. Av.,Huáběi,China
4,Igor Alvarado,mauris.ipsum.porta@aol.com,Ap #732-7076 Ornare Street,Mizoram,India
5,Geraldine Cobb,lacinia.vitae.sodales@icloud.edu,7409 Ultricies Rd.,La Libertad,Peru
6,Nelle Randolph,sed.eu@hotmail.edu,"371-8448 Dolor, Road",Gilgit Baltistan,Pakistan
7,Ila Carroll,euismod@outlook.org,143-4796 Enim Ave,Melilla,Spain
8,Brielle May,mauris.elit.dictum@google.couk,"P.O. Box 398, 4875 Egestas St.",Mecklenburg-Vorpommern,Germany
9,Samantha Koch,pharetra.nam@outlook.ca,Ap #650-941 Massa St.,Corse,France
10,Amery Sellers,velit.aliquam@hotmail.ca,5432 Urna Rd.,North West,South Africa
11,Hedwig Nolan,aliquam@hotmail.edu,559-1623 Odio Av.,Noord Brabant,Netherlands
12,Tanya Harrington,cras.dictum.ultricies@yahoo.edu,297-4131 Fusce Av.,Bourgogne,France
13,Mufutau Armstrong,rutrum.magna.cras@hotmail.edu,302-4194 Sed Street,Hidalgo,Mexico
14,Bree Berger,lectus.pede@hotmail.ca,5786 Morbi Street,Haute-Normandie,France
15,Gretchen William,nunc.quisque@icloud.couk,"Ap #160-4900 Lorem, Road",Valparaíso,Chile
16,Ian Donovan,duis.cursus@google.ca,Ap #258-9069 Felis St.,Saint Petersburg City,Russian Federation
17,Stephen Robinson,varius.ultrices@icloud.couk,Ap #346-3326 Integer St.,Balochistan,Pakistan
18,Jonah Day,proin.nisl.sem@yahoo.com,"P.O. Box 352, 1746 Proin Rd.",O'Higgins,Chile
19,Scott Camacho,ac.mattis@icloud.ca,"2527 Amet, Ave",Bình Định,Vietnam
20,Charity Salas,magna.sed.dui@icloud.net,726-7420 Urna St.,Mpumalanga,South Africa
21,Chandler Conrad,ut.nec@aol.couk,611 Diam Av.,Northern Territory,Australia
22,Daquan Guerra,vestibulum.lorem@yahoo.com,732-9574 Sodales Avenue,Bình Thuận,Vietnam
23,Lee Meadows,risus.donec@outlook.net,"P.O. Box 305, 1732 Mattis Av.",Jeju,South Korea
24,Samuel Perez,consectetuer@icloud.net,849-8043 Commodo Rd.,Ryazan Oblast,Russian Federation
25,Hammett Aguilar,ligula.tortor@hotmail.net,221-6697 Ullamcorper Rd.,Eastern Cape,South Africa
26,Quemby Kirkland,integer.urna@protonmail.com,"P.O. Box 458, 3652 Dictum Road",South Sulawesi,Indonesia
27,Deborah Nielsen,convallis.erat@outlook.ca,"P.O. Box 887, 6014 Erat. Av.",Swiętokrzyskie,Poland
28,Florence Wynn,faucibus@icloud.org,Ap #978-9545 Eu St.,Chiapas,Mexico
29,Sheila Gillespie,ac@hotmail.ca,"P.O. Box 992, 8468 Urna. Rd.",Noord Holland,Netherlands
30,Amos Ochoa,laoreet.lectus.quis@outlook.couk,Ap #167-3121 Nullam Street,Maharastra,India
31,Alana Nicholson,cras@google.com,Ap #424-9316 Parturient Avenue,Alaska,United States
32,Wade Wynn,aliquam.adipiscing@yahoo.edu,"P.O. Box 330, 9949 In Avenue",Ceará,Brazil
33,Harriet Rojas,vitae@hotmail.com,424-8962 Dictum St.,Coquimbo,Chile
34,Boris Hyde,nunc@icloud.edu,"P.O. Box 122, 1936 Ornare, Road",Niedersachsen,Germany
35,Thane Manning,sit.amet@aol.edu,Ap #780-6449 Accumsan St.,Goiás,Brazil
36,Jakeem Burris,nulla.vulputate.dui@google.edu,Ap #988-4846 Dictum St.,Rio Grande do Sul,Brazil
37,Malik Swanson,non@google.ca,"P.O. Box 877, 9216 Malesuada Ave",South Jeolla,South Korea
38,Wyatt Cooper,proin@yahoo.couk,8356 Vulputate Rd.,Virginia,United States
39,Ursa Fuentes,pede.nunc.sed@protonmail.net,Ap #904-1354 Gravida. St.,Mpumalanga,South Africa
40,Dai Sims,habitant.morbi.tristique@outlook.net,928-7941 Erat Road,Azad Kashmir,Pakistan
41,Axel Strong,pede@hotmail.ca,Ap #692-5285 Velit Ave,South Australia,Australia
42,Kevin Mcmahon,vivamus.rhoncus@hotmail.couk,"Ap #323-7149 Ullamcorper, Av.",Extremadura,Spain
43,Emerald Orr,consequat.dolor.vitae@icloud.couk,477-9158 Sodales Rd.,Arequipa,Peru
44,Guy Hale,lacus.aliquam.rutrum@hotmail.net,571-7766 Ut Road,Huádōng,China
